NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
6,egfet,5580120.0,5483719.0,6697790.0,5479236.0,0.001011,0.4936,0.01836,2.982,0.0,0.0,12.0,12.0,15.12,3,2
7,egfet,5580120.0,5483719.0,6615940.0,6132892.0,0.001184,0.8147,0.06301,12.06,0.0,0.0,128.0,128.0,912.1,3,2
8,egfet,5580120.0,5483719.0,6182440.0,5478255.5,0.001108,0.8721,0.05604,13.86,0.0,0.0,52.0,52.0,243.1,3,2
9,egfet,5580120.0,5483719.0,5790180.0,4453902.0,0.0009769,0.2515,0.06176,15.07,0.0,0.0,64.0,64.0,680.2,3,2
-1,egfet,6000000.0,6000000.0,6902870.0,6000000.0,0.001153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
0,egfet,6000000.0,6000000.0,7791290.0,5634240.0,0.001371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
1,egfet,6000000.0,6000000.0,7357790.0,5634031.0,0.0013,0.5035,0.01009,2.014,0.0,0.0,4.0,4.0,4.0,3,3
2,egfet,6000000.0,6000000.0,7357790.0,5634031.0,0.0013,0.5035,0.01009,2.014,0.0,0.0,4.0,4.0,4.0,3,3
3,egfet,6000000.0,6000000.0,7658300.0,5724283.0,0.001193,0.1273,0.0219,4.074,0.0,0.0,32.0,32.0,113.8,3,3
4,egfet,6000000.0,6000000.0,7658300.0,5724283.0,0.001193,0.1273,0.0219,4.074,0.0,0.0,32.0,32.0,113.8,3,3
5,egfet,6000000.0,6000000.0,6953410.0,5730583.5,0.001227,0.5035,0.02652,5.069,0.0,0.0,28.0,28.0,80.13,3,3
6,egfet,6000000.0,6000000.0,6953410.0,5730583.5,0.001227,0.5035,0.02652,5.069,0.0,0.0,28.0,28.0,80.13,3,3
7,egfet,6000000.0,6000000.0,5988210.0,5751389.5,0.0009534,0.7529,0.04669,9.086,0.0,0.0,28.0,28.0,71.57,3,3
8,egfet,6000000.0,6000000.0,5590880.0,5724282.0,0.000948,0.2502,0.06297,12.2,0.0,0.0,92.0,92.0,930.5,3,3
9,egfet,6000000.0,6000000.0,5590880.0,5724282.0,0.000948,0.2502,0.06297,12.2,0.0,0.0,92.0,92.0,930.5,3,3
-1,egfet,15658210.01,14430902.0,19278820.0,14430902.0,0.00156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
0,egfet,15658210.01,14430902.0,19622080.0,13417009.0,0.001646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
1,egfet,15658210.01,14430902.0,18974720.0,13416589.0,0.001566,0.2454,0.004576,0.9816,0.0,0.0,4.0,4.0,2.963,4,1
2,egfet,15658210.01,14430902.0,18974720.0,13416589.0,0.001566,0.2454,0.004576,0.9816,0.0,0.0,4.0,4.0,2.963,4,1
3,egfet,15658210.01,14430902.0,18712300.0,13417009.0,0.001526,0.5086,0.00654,2.034,0.0,0.0,4.0,4.0,3.999,4,1
4,egfet,15658210.01,14430902.0,18712300.0,13417009.0,0.001526,0.5086,0.00654,2.034,0.0,0.0,4.0,4.0,3.999,4,1
5,egfet,15658210.01,14430902.0,18712300.0,13417009.0,0.001526,0.5086,0.00654,2.034,0.0,0.0,4.0,4.0,3.999,4,1
6,egfet,15658210.01,14430902.0,17988160.0,13416413.0,0.001495,0.6276,0.01207,4.039,0.0,0.0,8.0,8.0,12.07,4,1
7,egfet,15658210.01,14430902.0,18851300.0,12525527.0,0.001436,0.8169,0.06037,14.91,0.0,0.0,32.0,32.0,197.9,4,1
8,egfet,15658210.01,14430902.0,18851300.0,12525527.0,0.001436,0.8169,0.06037,14.91,0.0,0.0,32.0,32.0,197.9,4,1
9,egfet,15658210.01,14430902.0,18851300.0,12525527.0,0.001436,0.8169,0.06037,14.91,0.0,0.0,32.0,32.0,197.9,4,1
-1,egfet,10368767.01,10366865.0,22113600.0,10366865.0,0.002284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2
0,egfet,10368767.01,10366865.0,19398820.0,9230684.0,0.002015,0.1181,0.006045,1.89,0.0,0.0,16.0,16.0,26.66,4,2
1,egfet,10368767.01,10366865.0,19398820.0,9230684.0,0.002015,0.1181,0.006045,1.89,0.0,0.0,16.0,16.0,26.66,4,2
2,egfet,10368767.01,10366865.0,20076320.0,10128104.0,0.001878,0.4945,0.01147,3.956,0.0,0.0,8.0,8.0,16.0,4,2
3,egfet,10368767.01,10366865.0,18736900.0,9230684.0,0.001956,0.4945,0.01291,4.868,0.0,0.0,24.0,24.0,37.13,4,2
4,egfet,10368767.01,10366865.0,18736900.0,9230684.0,0.001956,0.4945,0.01291,4.868,0.0,0.0,24.0,24.0,37.13,4,2
5,egfet,10368767.01,10366865.0,18522220.0,8975948.0,0.001962,0.4954,0.02413,7.926,0.0,0.0,16.0,16.0,63.99,4,2
6,egfet,10368767.01,10366865.0,18522220.0,8975948.0,0.001962,0.4954,0.02413,7.926,0.0,0.0,16.0,16.0,63.99,4,2
7,egfet,10368767.01,10366865.0,17264877.0,10345561.0,0.001729,0.7512,0.02015,8.063,0.0,0.0,16.0,16.0,32.35,4,2
8,egfet,10368767.01,10366865.0,17264877.0,10345561.0,0.001729,0.7512,0.02015,8.063,0.0,0.0,16.0,16.0,32.35,4,2
9,egfet,10368767.01,10366865.0,16237870.0,10282346.0,0.001684,0.7512,0.02763,10.86,0.0,0.0,40.0,40.0,98.15,4,2
-1,egfet,14748874.01,14182791.0,17644910.0,14182791.0,0.001391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
0,egfet,14748874.01,14182791.0,17353640.0,12554467.0,0.001449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
1,egfet,14748874.01,14182791.0,17353640.0,12554467.0,0.001449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
2,egfet,14748874.01,14182791.0,16551650.0,10291496.0,0.00144,0.0621,0.0092,3.974,0.0,0.0,64.0,64.0,238.6,4,3
3,egfet,14748874.01,14182791.0,15870480.0,13233304.0,0.001335,0.5023,0.01786,6.999,0.0,0.0,56.0,56.0,173.9,4,3
4,egfet,14748874.01,14182791.0,15870480.0,13233304.0,0.001335,0.5023,0.01786,6.999,0.0,0.0,56.0,56.0,173.9,4,3
