NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
7,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
8,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
9,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
10,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
11,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
12,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
13,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
14,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002603,0.2505,0.5011,3.508,1.169,0.0,14.0,14.0,36.8,2,3
15,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002603,0.2505,0.5011,3.508,1.169,0.0,14.0,14.0,36.8,2,3
-1,egfet,4712829.0,4712829.0,6763240.0,4712829.0,0.001213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
0,egfet,4712829.0,4712829.0,6763240.0,4712829.0,0.001213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,egfet,4712829.0,4712829.0,5636180.0,4593835.0,0.0009913,0.1249,0.09995,0.9995,0.3332,0.0,8.0,8.0,6.997,3,1
2,egfet,4712829.0,4712829.0,5433460.0,4464801.5,0.000899,0.4996,0.09802,1.998,0.6661,0.0,4.0,4.0,4.0,3,1
3,egfet,4712829.0,4712829.0,4694760.0,4447629.0,0.0008254,0.7501,0.116,2.001,0.6669,0.0,4.0,4.0,2.001,3,1
4,egfet,4712829.0,4712829.0,4758510.0,5934313.0,0.00082,0.6246,0.1569,2.999,0.9996,0.0,8.0,8.0,7.005,3,1
5,egfet,4712829.0,4712829.0,3456280.0,5934313.0,0.0005917,0.7182,0.4802,6.493,2.164,0.0,32.0,32.0,76.65,3,1
6,egfet,4712829.0,4712829.0,3456280.0,5934313.0,0.0005917,0.7182,0.4802,6.493,2.164,0.0,32.0,32.0,76.65,3,1
7,egfet,4712829.0,4712829.0,3227860.0,5934313.0,0.0005815,0.9686,0.4935,7.0,2.333,0.0,32.0,32.0,69.04,3,1
8,egfet,4712829.0,4712829.0,3227860.0,5934313.0,0.0005815,0.9686,0.4935,7.0,2.333,0.0,32.0,32.0,69.04,3,1
9,egfet,4712829.0,4712829.0,2356140.0,4191801.0,0.0005706,1.0,0.2558,5.495,1.832,2.0,12.0,10.0,11.73,3,1
10,egfet,4712829.0,4712829.0,2356140.0,4191801.0,0.0005706,1.0,0.2558,5.495,1.832,2.0,12.0,10.0,11.73,3,1
-1,egfet,4712829.0,4712829.0,6763240.0,4712829.0,0.001212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
0,egfet,4712829.0,4712829.0,5636180.0,4593835.0,0.0009903,0.125,0.1,1.0,0.3334,0.0,8.0,8.0,7.001,3,2
-1,egfet,4712829.0,4712829.0,6763240.0,4712829.0,0.001211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
0,egfet,4712829.0,4712829.0,5171040.0,4447996.5,0.0008501,0.1247,0.02494,0.4988,0.1663,0.0,4.0,4.0,1.746,3,3
1,egfet,4712829.0,4712829.0,5433460.0,4464801.5,0.0008996,0.5001,0.098,2.001,0.6669,0.0,4.0,4.0,4.0,3,3
2,egfet,4712829.0,4712829.0,5433460.0,4464801.5,0.0008996,0.5001,0.098,2.001,0.6669,0.0,4.0,4.0,4.0,3,3
3,egfet,4712829.0,4712829.0,4694760.0,4447629.0,0.0008258,0.75,0.1034,1.999,0.6665,0.0,4.0,4.0,1.999,3,3
