CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
add16u_1A5,asap7,0,109.647,13.413600,109.647,1.211e-07,0.000e+00
add16u_1A5,variability14,0,0.133,47.087617,0.133,5.971e-04,0.000e+00
add16u_1A5,fdsoi28,0,0.031,296.324001,0.031,6.927e-04,0.000e+00
add16u_1A5,nangate45,0,0.404,165.718000,0.404,3.874e-04,0.000e+00
add16u_0GN,asap7,0,102.969,9.191232,102.969,1.016e-07,0.000e+00
add16u_0GN,variability14,0,0.116,35.438593,0.116,5.007e-04,0.000e+00
add16u_0GN,fdsoi28,0,0.030,195.510000,0.030,4.909e-04,0.000e+00
add16u_0GN,nangate45,0,0.351,117.572000,0.351,3.350e-04,0.000e+00
add16u_126,asap7,0,97.735,8.946288,97.735,9.845e-08,0.000e+00
add16u_126,variability14,0,0.113,32.833537,0.113,5.159e-04,0.000e+00
add16u_126,fdsoi28,0,0.029,164.388000,0.029,4.216e-04,0.000e+00
add16u_126,nangate45,0,0.345,117.306000,0.345,3.649e-04,0.000e+00
add16u_0P8,asap7,0,90.049,8.911296,90.049,1.290e-07,0.000e+00
add16u_0P8,variability14,0,0.108,27.770881,0.108,4.662e-04,0.000e+00
add16u_0P8,fdsoi28,0,0.13,184.337999,0.026,1.073e-04,0.000e+00
add16u_0P8,nangate45,0,0.339,88.312000,0.339,3.317e-04,0.000e+00
add16u_0HE,asap7,0,90.100,6.193584,90.100,8.863e-08,0.000e+00
add16u_0HE,variability14,0,0.20,22.364161,0.105,2.038e-04,0.000e+00
add16u_0HE,fdsoi28,0,0.13,118.902000,0.030,7.068e-05,0.000e+00
add16u_0HE,nangate45,0,0.299,82.460000,0.299,3.466e-04,0.000e+00
add16u_07T,asap7,0,74.171,5.038848,74.171,8.856e-08,0.000e+00
add16u_07T,variability14,0,0.18,20.299776,0.080,2.058e-04,0.000e+00
add16u_07T,fdsoi28,0,0.12,105.070000,0.023,7.776e-05,0.000e+00
add16u_07T,nangate45,0,0.242,70.224000,0.242,3.716e-04,0.000e+00
add16u_0KU,asap7,0,65.515,3.125952,65.515,6.508e-08,0.000e+00
add16u_0KU,variability14,0,0.070,10.616832,0.070,3.174e-04,0.000e+00
add16u_0KU,fdsoi28,0,0.12,66.234000,0.020,5.080e-05,0.000e+00
add16u_0KU,nangate45,0,0.248,38.836000,0.248,1.988e-04,0.000e+00
add16u_0SL,asap7,0,42.527,2.052864,42.527,6.421e-08,0.000e+00
add16u_0SL,variability14,0,0.053,6.782976,0.053,2.420e-04,0.000e+00
