CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
add8u_00M,asap7,0,41.363,0.641520,41.363,1.803e-08,0.000e+00
add8u_00M,variability14,0,0.048,2.555904,0.048,9.642e-05,0.000e+00
add8u_00M,fdsoi28,0,0.013,14.364000,0.013,9.012e-05,0.000e+00
add8u_00M,nangate45,0,0.122,11.438000,0.122,1.141e-04,0.000e+00
add8u_00M,variability14,1.065,1.065,1.818626,0.065,2.167e-06,0.000e+00
add8u_00M,fdsoi28,1.43,1.43,6.650000,0.023,2.664e-07,0.000e+00
add8u_00M,nangate45,2.0,2.0,6.650000,0.201,3.733e-06,0.000e+00
add8u_00M,asap7,955,955,0.478224,74.090,1.053e-09,0.000e+00
