gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U10,A1,Y,NAND2X1,negative_unate,1.34535e+06,930393,1.12419e+06,400724
U10,A2,Y,NAND2X1,negative_unate,1.75262e+06,1.23047e+06,1.72527e+06,485090
U100,A1,Y,AND2X1,positive_unate,1.87931e+06,2.03512e+06,994519,589332
U100,A2,Y,AND2X1,positive_unate,2.19753e+06,2.45759e+06,1.05681e+06,754587
U101,A,Y,INVX1,negative_unate,-1.1904e+06,708086,340108,10571.3
U102,A1,Y,AND2X1,positive_unate,1.87835e+06,2.03514e+06,992947,589323
U102,A2,Y,AND2X1,positive_unate,2.19753e+06,2.45759e+06,1.05681e+06,754587
U103,A,Y,INVX1,negative_unate,-1.19041e+06,708085,340109,10571.4
U104,A1,Y,AND2X1,positive_unate,1.83686e+06,2.05158e+06,925175,582307
U104,A2,Y,AND2X1,positive_unate,2.19772e+06,2.45761e+06,1.05672e+06,754540
U105,A,Y,INVX1,negative_unate,-1.19029e+06,708026,340109,10572.3
U106,A1,Y,AND2X1,positive_unate,1.87835e+06,2.03514e+06,992947,589323
U106,A2,Y,AND2X1,positive_unate,2.19847e+06,2.45768e+06,1.05632e+06,754352
U107,A,Y,INVX1,negative_unate,-1.1899e+06,707782,340086,10573.6
U108,A,Y,INVX1,negative_unate,436522,646208,356072,11497.3
U109,A1,Y,AND2X1,positive_unate,1.84225e+06,2.03602e+06,933983,588950
U109,A2,Y,AND2X1,positive_unate,2.19809e+06,2.45764e+06,1.05652e+06,754446
U11,A,Y,INVX1,negative_unate,-543263,1.21444e+06,346479,2996.46
U110,A,Y,INVX1,negative_unate,-1.17785e+06,708127,348092,11186.9
U111,A1,Y,AND2X1,positive_unate,1.78368e+06,2.04552e+06,838315,584896
U111,A2,Y,AND2X1,positive_unate,2.19888e+06,2.45805e+06,1.05611e+06,753314
U112,A,Y,INVX1,negative_unate,-1.1633e+06,708090,355902,11788.5
U113,A1,Y,AND2X1,positive_unate,1.83042e+06,2.04607e+06,891518,586173
U113,A2,Y,AND2X1,positive_unate,2.202e+06,2.46093e+06,1.06353e+06,754002
U114,A,Y,INVX1,negative_unate,-1.18904e+06,712246,340110,10507.3
U115,A1,Y,AND2X1,positive_unate,1.88184e+06,2.03487e+06,998649,589439
U115,A2,Y,AND2X1,positive_unate,2.19847e+06,2.45768e+06,1.05632e+06,754352
U116,A,Y,INVX1,negative_unate,-1.17761e+06,708005,348118,11189.5
U117,A1,Y,AND2X1,positive_unate,1.83709e+06,2.04979e+06,925557,583071
U117,A2,Y,AND2X1,positive_unate,2.19907e+06,2.45808e+06,1.056e+06,753241
U118,A,Y,INVX1,negative_unate,-1.17505e+06,707807,348118,11190.8
U119,A1,Y,AND2X1,positive_unate,1.82961e+06,2.04664e+06,889966,585920
U119,A2,Y,AND2X1,positive_unate,2.20175e+06,2.46091e+06,1.06365e+06,754069
U12,A,Y,INVX1,negative_unate,-543263,1.21444e+06,346479,2996.46
U120,A,Y,INVX1,negative_unate,-1.18923e+06,712323,340092,10505.6
U121,A1,Y,AND2X1,positive_unate,1.83084e+06,2.04606e+06,892269,586186
U121,A2,Y,AND2X1,positive_unate,2.20173e+06,2.46091e+06,1.06368e+06,754069
U122,A,Y,INVX1,negative_unate,-1.18919e+06,712338,340120,10507.7
U123,A1,Y,AND2X1,positive_unate,1.83084e+06,2.04606e+06,892269,586186
U123,A2,Y,AND2X1,positive_unate,2.20199e+06,2.46094e+06,1.06356e+06,754004
U124,A,Y,INVX1,negative_unate,-1.1649e+06,712706,355886,11721.8
U125,A1,Y,XNOR2X1,positive_unate,5.85395e+06,6.00723e+06,1.24795e+06,766860
U125,A1,Y,XNOR2X1,negative_unate,4.35916e+06,3.34978e+06,1.17056e+06,608024
U125,A2,Y,XNOR2X1,positive_unate,5.96648e+06,6.58421e+06,1.16353e+06,639174
U125,A2,Y,XNOR2X1,negative_unate,4.29004e+06,3.46233e+06,1.14933e+06,711057
U126,A,Y,INVX1,negative_unate,-1.21916e+06,826479,339827,8799.81
U127,A1,Y,AND2X1,positive_unate,1.90825e+06,2.03711e+06,1.04041e+06,589771
U127,A2,Y,AND2X1,positive_unate,2.21271e+06,2.4613e+06,1.05884e+06,753115
U128,A,Y,INVX1,negative_unate,-1.18697e+06,709337,340143,10552.7
U129,A,Y,INVX1,negative_unate,-280516,1.00719e+06,364337,7466.53
