gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U100,I,ZN,INV_X1,negative_unate,0.0145402,0.0134413,0.0176574,0.0154
U101,A1,ZN,NOR2_X1,negative_unate,0.0138047,0.00914058,0.0212469,0.0100707
U101,A2,ZN,NOR2_X1,negative_unate,0.0160989,0.00923711,0.0212469,0.0108891
U102,A1,ZN,NAND2_X2,negative_unate,0.0134915,0.0151558,0.0157248,0.0212569
U102,A2,ZN,NAND2_X2,negative_unate,0.0152266,0.0175097,0.0173724,0.0206707
U103,A1,ZN,NAND2_X1,negative_unate,0.0108474,0.0138002,0.0118072,0.0168151
U103,A2,ZN,NAND2_X1,negative_unate,0.0114677,0.0153606,0.0126328,0.0152628
U104,A1,ZN,NOR2_X1,negative_unate,0.0144056,0.0102726,0.0189897,0.0105041
U104,A2,ZN,NOR2_X1,negative_unate,0.0161223,0.0116701,0.0173131,0.0118841
U105,A1,Z,AND2_X1,positive_unate,0.0179472,0.0130553,0.0131953,0.0103853
U105,A2,Z,AND2_X1,positive_unate,0.0190579,0.0143057,0.0131742,0.0106218
U106,I,ZN,INV_X4,negative_unate,0.00354603,0.00315908,0.00519832,0.00442523
U107,A1,Z,XOR2_X1,positive_unate,0.0301909,0.0280611,0.0297854,0.0168356
U107,A1,Z,XOR2_X1,negative_unate,0.0207493,0.0183101,0.0287802,0.0232088
U107,A2,Z,XOR2_X1,positive_unate,0.0296759,0.0287561,0.0266663,0.0165224
U107,A2,Z,XOR2_X1,negative_unate,0.0217198,0.0191683,0.0310903,0.0218426
U108,A1,Z,XOR2_X1,positive_unate,0.0355209,0.0318511,0.0322891,0.0180344
U108,A1,Z,XOR2_X1,negative_unate,0.025201,0.0239238,0.0327921,0.0278098
U108,A2,Z,XOR2_X1,positive_unate,0.0333656,0.0300566,0.0292393,0.0176302
U108,A2,Z,XOR2_X1,negative_unate,0.0237787,0.0223699,0.0339326,0.0244313
U109,A1,ZN,NAND2_X1,negative_unate,0.0147613,0.0181776,0.0154687,0.0204579
U109,A2,ZN,NAND2_X1,negative_unate,0.0133521,0.015598,0.0140836,0.01527
U110,A1,ZN,NAND2_X1,negative_unate,0.0148412,0.0182825,0.015549,0.0205727
U110,A2,ZN,NAND2_X1,negative_unate,0.012174,0.0153389,0.0131929,0.0152681
U111,A1,ZN,NAND2_X1,negative_unate,0.0119361,0.0141484,0.0128236,0.0170914
U111,A2,ZN,NAND2_X1,negative_unate,0.0121574,0.015316,0.0131686,0.0152288
U112,A1,ZN,NAND3_X1,negative_unate,0.013118,0.0201245,0.0161401,0.0346446
U112,A2,ZN,NAND3_X1,negative_unate,0.016002,0.0259625,0.0188736,0.034662
U112,A3,ZN,NAND3_X1,negative_unate,0.0165766,0.0271568,0.0202383,0.0345478
U113,A1,ZN,OAI21_X1,negative_unate,0.0235075,0.0203016,0.0404534,0.0328091
U113,A2,ZN,OAI21_X1,negative_unate,0.0260284,0.0242167,0.0404298,0.0362721
U113,B,ZN,OAI21_X1,negative_unate,0.018184,0.0259279,0.0281178,0.035363
U114,I,ZN,INV_X1,negative_unate,0.0104878,0.00960069,0.0115538,0.0100968
U115,A1,ZN,XNOR2_X1,positive_unate,0.0249007,0.0283849,0.0182846,0.0243538
U115,A1,ZN,XNOR2_X1,negative_unate,0.0206795,0.0163727,0.0286248,0.0226804
U115,A2,ZN,XNOR2_X1,positive_unate,0.027364,0.0251051,0.018123,0.0217577
U115,A2,ZN,XNOR2_X1,negative_unate,0.0191209,0.0191216,0.026689,0.0255958
U116,I,ZN,INV_X1,negative_unate,0.0109715,0.00871682,0.0120334,0.00919422
U117,I,Z,CLKBUF_X2,positive_unate,0.0191657,0.0160138,0.00739991,0.00701948
U118,A1,ZN,NOR2_X2,negative_unate,0.0109907,0.00707805,0.0165664,0.00744907
U118,A2,ZN,NOR2_X2,negative_unate,0.0133279,0.00780833,0.016584,0.00891441
U119,A1,Z,XOR2_X1,positive_unate,0.0282659,0.0251693,0.0322678,0.0177319
U119,A1,Z,XOR2_X1,negative_unate,0.0184363,0.0159108,0.0293889,0.0231831
U119,A2,Z,XOR2_X1,positive_unate,0.0269469,0.026401,0.0290835,0.0174823
U119,A2,Z,XOR2_X1,negative_unate,0.0195022,0.0166813,0.0321271,0.0228829
U120,A1,Z,OR2_X1,positive_unate,0.0172282,0.0258605,0.0112296,0.0122089
U120,A2,Z,OR2_X1,positive_unate,0.0213596,0.0248889,0.011537,0.0120191
U121,I,ZN,INV_X8,negative_unate,0.0032322,0.002883,0.00450076,0.00385023
U122,A1,ZN,XNOR2_X1,positive_unate,0.0311368,0.0319947,0.0192925,0.0255399
U122,A1,ZN,XNOR2_X1,negative_unate,0.0244907,0.0231518,0.0316063,0.0272453
U122,A2,ZN,XNOR2_X1,positive_unate,0.0292353,0.0307169,0.018929,0.0229811
U122,A2,ZN,XNOR2_X1,negative_unate,0.0240921,0.0215608,0.0290463,0.0276174
U123,A1,Z,AND2_X2,positive_unate,0.0217863,0.0169873,0.0123284,0.00942616
U123,A2,Z,AND2_X2,positive_unate,0.0250228,0.0215775,0.0123515,0.00979458
U124,A1,Z,XOR2_X1,positive_unate,0.034747,0.0319579,0.0315759,0.0177385
U124,A1,Z,XOR2_X1,negative_unate,0.0251302,0.0231198,0.0322625,0.0268699
U124,A2,Z,XOR2_X1,positive_unate,0.0296982,0.0281007,0.0284987,0.0172713
U124,A2,Z,XOR2_X1,negative_unate,0.0213194,0.0191514,0.0323429,0.0230761
U125,A1,Z,OR2_X2,positive_unate,0.0175239,0.0227782,0.00856532,0.0107052
U125,A2,Z,OR2_X2,positive_unate,0.0188377,0.0296316,0.00873898,0.0107505
U126,A1,ZN,NOR2_X1,negative_unate,0.0130986,0.00914732,0.0183893,0.00946354
U126,A2,ZN,NOR2_X1,negative_unate,0.013333,0.00756275,0.0174285,0.00920218
U127,I,ZN,INV_X12,negative_unate,0.00420485,0.00374535,0.00651416,0.00555439
