CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
add16u_0GN,asap7,0,102.969,9.191232,102.969,1.016e-07,0.000e+00
add16u_0GN,variability14,0,0.116,35.438593,0.116,5.007e-04,0.000e+00
add16u_0GN,fdsoi28,0,0.030,195.510000,0.030,4.909e-04,0.000e+00
add16u_0GN,nangate45,0,0.351,117.572000,0.351,3.350e-04,0.000e+00
add16u_0GN,variability14,1.065,1.065,14.843927,0.421,1.039e-05,0.000e+00
add16u_0GN,fdsoi28,1.43,1.43,53.732000,0.164,6.003e-07,0.000e+00
add16u_0GN,nangate45,2.0,2.0,53.732000,1.188,1.303e-05,0.000e+00
add16u_0GN,asap7,955,955,4.070736,437.974,6.367e-09,0.000e+00
