gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U10,A,Y,INVX1,negative_unate,-1.17299e+06,705218,348140,11229.7
U11,A1,Y,OR2X1,positive_unate,1.39846e+06,2.11583e+06,474107,616032
U11,A2,Y,OR2X1,positive_unate,1.6631e+06,2.1147e+06,428672,615290
U12,A1,Y,NAND2X1,negative_unate,864827,803129,574154,353181
U12,A2,Y,NAND2X1,negative_unate,1.27984e+06,1.04845e+06,1.34141e+06,421521
U13,A,Y,INVX1,negative_unate,576217,53473.4,357343,20346.7
U14,A1,Y,OR2X1,positive_unate,2.34028e+06,2.09364e+06,312742,601180
U14,A2,Y,OR2X1,positive_unate,1.6631e+06,2.1147e+06,428672,615290
U15,A,Y,INVX1,negative_unate,595562,54763.4,380574,21661.6
U16,A,Y,INVX1,negative_unate,582668,53903.4,365090,20785
U17,A1,Y,NOR2X1,negative_unate,1.16434e+06,542965,975743,364566
U17,A2,Y,NOR2X1,negative_unate,1.16441e+06,533313,975902,366048
U18,A,Y,INVX1,negative_unate,-997092,689167,341993,10852.6
U19,A1,Y,NAND2X1,negative_unate,866256,833059,581296,370740
U19,A2,Y,NAND2X1,negative_unate,1.28819e+06,1.05306e+06,1.35638e+06,424282
U20,A1,Y,OR2X1,positive_unate,1.84845e+06,2.31854e+06,1.02627e+06,672043
U20,A2,Y,OR2X1,positive_unate,1.84845e+06,2.31854e+06,1.02627e+06,672043
U21,A1,Y,NAND2X1,negative_unate,864767,805310,574157,354484
U21,A2,Y,NAND2X1,negative_unate,1.37765e+06,1.1022e+06,1.67813e+06,465455
U22,A1,Y,NOR2X1,negative_unate,1.19303e+06,107472,1.0492e+06,430383
U22,A2,Y,NOR2X1,negative_unate,1.18565e+06,151075,1.03202e+06,423705
U23,A1,Y,NOR2X1,negative_unate,1.19409e+06,-73935.1,1.04473e+06,459287
U23,A2,Y,NOR2X1,negative_unate,1.16275e+06,769087,972330,329810
U24,A1,Y,NAND2X1,negative_unate,882015,847582,573295,379729
U24,A2,Y,NAND2X1,negative_unate,1.27984e+06,1.04845e+06,1.34141e+06,421521
U5,A1,Y,NAND2X1,negative_unate,880107,847659,573390,379776
U5,A2,Y,NAND2X1,negative_unate,1.37017e+06,1.12456e+06,1.6524e+06,483739
U6,A1,Y,NAND2X1,negative_unate,918844,800618,578689,351451
U6,A2,Y,NAND2X1,negative_unate,1.28205e+06,1.0272e+06,1.34097e+06,398350
U7,A1,Y,NAND2X1,negative_unate,929409,804978,592663,353596
U7,A2,Y,NAND2X1,negative_unate,1.29409e+06,1.03203e+06,1.35477e+06,400432
U8,A1,Y,OR2X1,positive_unate,2.13109e+06,2.08728e+06,340508,598080
U8,A2,Y,OR2X1,positive_unate,2.08245e+06,2.09256e+06,348837,601592
U9,A1,Y,AND2X1,positive_unate,1.88076e+06,2.0351e+06,996886,589344
U9,A2,Y,AND2X1,positive_unate,2.20711e+06,2.45843e+06,1.05182e+06,752365
