CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
add16u_0SL,asap7,0,42.527,2.052864,42.527,6.421e-08,0.000e+00
add16u_0SL,variability14,0,0.053,6.782976,0.053,2.420e-04,0.000e+00
add16u_0SL,variability14,1.065,1.065,2.850818,0.118,5.517e-06,0.000e+00
add16u_0SL,fdsoi28,1.43,1.43,10.640000,0.039,6.697e-07,0.000e+00
add16u_0SL,nangate45,2.0,2.0,10.640000,0.314,8.232e-06,0.000e+00
add16u_0SL,asap7,955,955,0.746496,105.066,1.381e-09,0.000e+00
add16u_0SL,saed14,1.065,1.065,3.152400,0.122,1.433e-06,0.000e+00
add16u_0SL,saed32,1.43,1.43,18.044224,0.101,1.585e-06,0.000e+00
