CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
add16u_0HE,asap7,0,90.100,6.193584,90.100,8.863e-08,0.000e+00
add16u_0HE,variability14,0,0.20,22.364161,0.105,2.038e-04,0.000e+00
add16u_0HE,fdsoi28,0,0.13,118.902000,0.030,7.068e-05,0.000e+00
add16u_0HE,nangate45,0,0.299,82.460000,0.299,3.466e-04,0.000e+00
add16u_0HE,asap7,0.955,90.100,6.193584,90.100,8.863e-08,0.000e+00
add16u_0HE,variability14,1.065,1.065,9.437200,0.271,8.825e-06,0.000e+00
add16u_0HE,fdsoi28,1.43,1.43,34.048000,0.108,9.773e-07,0.000e+00
add16u_0HE,nangate45,2.0,2.0,34.048000,0.794,1.274e-05,0.000e+00
